custId,domain,updatedDomain
0,sjn,123mail.cl
1,epam.com,1epam.com
2,ebsco.com,2ebsco.com
3,tcs.com,3tcs.com
4,infoysys.com,4infoysys.com
5,xoriant.com,5xoriant.com
6,epam.com,6epam.com
7,ebsco.com,7ebsco.com
8,tcs.com,8tcs.com
9,infoysys.com,9infoysys.com
10,xoriant.com,10xoriant.com
11,epam.com,11epam.com
12,ebsco.com,12ebsco.com
13,tcs.com,13tcs.com
14,infoysys.com,14infoysys.com
15,xoriant.com,15xoriant.com
16,epam.com,16epam.com
17,ebsco.com,17ebsco.com
18,tcs.com,18tcs.com
19,infoysys.com,19infoysys.com
20,xoriant.com,20xoriant.com
21,epam.com,21epam.com
22,ebsco.com,22ebsco.com
23,tcs.com,23tcs.com
24,infoysys.com,24infoysys.com
25,xoriant.com,25xoriant.com
26,epam.com,26epam.com
27,ebsco.com,27ebsco.com
28,tcs.com,28tcs.com
29,infoysys.com,29infoysys.com
30,xoriant.com,30xoriant.com
31,epam.com,31epam.com
32,ebsco.com,32ebsco.com
33,tcs.com,33tcs.com
34,infoysys.com,34infoysys.com
35,xoriant.com,35xoriant.com
36,epam.com,36epam.com
37,ebsco.com,37ebsco.com
38,tcs.com,38tcs.com
39,infoysys.com,39infoysys.com
40,xoriant.com,40xoriant.com
41,epam.com,41epam.com
42,ebsco.com,42ebsco.com
43,tcs.com,43tcs.com
44,infoysys.com,44infoysys.com
45,xoriant.com,45xoriant.com
46,epam.com,46epam.com
47,ebsco.com,47ebsco.com
48,tcs.com,48tcs.com
49,infoysys.com,49infoysys.com
50,xoriant.com,50xoriant.com
51,epam.com,51epam.com
52,ebsco.com,52ebsco.com
53,tcs.com,53tcs.com
54,infoysys.com,54infoysys.com
55,xoriant.com,55xoriant.com
56,epam.com,56epam.com
57,ebsco.com,57ebsco.com
58,tcs.com,58tcs.com
59,infoysys.com,59infoysys.com
60,xoriant.com,60xoriant.com
61,epam.com,61epam.com
62,ebsco.com,62ebsco.com
63,tcs.com,63tcs.com
64,infoysys.com,64infoysys.com
65,xoriant.com,65xoriant.com
66,epam.com,66epam.com
67,ebsco.com,67ebsco.com
68,tcs.com,68tcs.com
69,infoysys.com,69infoysys.com
70,xoriant.com,70xoriant.com
71,epam.com,71epam.com
72,ebsco.com,72ebsco.com
73,tcs.com,73tcs.com
74,infoysys.com,74infoysys.com
75,xoriant.com,75xoriant.com
76,epam.com,76epam.com
77,ebsco.com,77ebsco.com
78,tcs.com,78tcs.com
79,infoysys.com,79infoysys.com
80,xoriant.com,80xoriant.com
81,epam.com,81epam.com
82,ebsco.com,82ebsco.com
83,tcs.com,83tcs.com
84,infoysys.com,84infoysys.com
85,xoriant.com,85xoriant.com
86,epam.com,86epam.com
87,ebsco.com,87ebsco.com
88,tcs.com,88tcs.com
89,infoysys.com,89infoysys.com
90,xoriant.com,90xoriant.com
91,epam.com,91epam.com
92,ebsco.com,92ebsco.com
93,tcs.com,93tcs.com
94,infoysys.com,94infoysys.com
95,xoriant.com,95xoriant.com
96,epam.com,96epam.com
97,ebsco.com,97ebsco.com
98,tcs.com,98tcs.com
99,infoysys.com,99infoysys.com
100,xoriant.com,100xoriant.com
101,epam.com,101epam.com
102,ebsco.com,102ebsco.com
103,tcs.com,103tcs.com
104,infoysys.com,104infoysys.com
105,xoriant.com,105xoriant.com
106,epam.com,106epam.com
107,ebsco.com,107ebsco.com
108,tcs.com,108tcs.com
109,infoysys.com,109infoysys.com
110,xoriant.com,110xoriant.com
111,epam.com,111epam.com
112,ebsco.com,112ebsco.com
113,tcs.com,113tcs.com
114,infoysys.com,114infoysys.com
115,xoriant.com,115xoriant.com
116,epam.com,116epam.com
117,ebsco.com,117ebsco.com
118,tcs.com,118tcs.com
119,infoysys.com,119infoysys.com
120,xoriant.com,120xoriant.com
121,epam.com,121epam.com
122,ebsco.com,122ebsco.com
123,tcs.com,123tcs.com
124,infoysys.com,124infoysys.com
125,xoriant.com,125xoriant.com
126,epam.com,126epam.com
127,ebsco.com,127ebsco.com
128,tcs.com,128tcs.com
129,infoysys.com,129infoysys.com
130,xoriant.com,130xoriant.com
131,epam.com,131epam.com
132,ebsco.com,132ebsco.com
133,tcs.com,133tcs.com
134,infoysys.com,134infoysys.com
135,xoriant.com,135xoriant.com
136,epam.com,136epam.com
137,ebsco.com,137ebsco.com
138,tcs.com,138tcs.com
139,infoysys.com,139infoysys.com
140,xoriant.com,140xoriant.com
141,epam.com,141epam.com
142,ebsco.com,142ebsco.com
143,tcs.com,143tcs.com
144,infoysys.com,144infoysys.com
145,xoriant.com,145xoriant.com
146,epam.com,146epam.com
147,ebsco.com,147ebsco.com
148,tcs.com,148tcs.com
149,infoysys.com,149infoysys.com
150,xoriant.com,150xoriant.com
151,epam.com,151epam.com
152,ebsco.com,152ebsco.com
153,tcs.com,153tcs.com
154,infoysys.com,154infoysys.com
155,xoriant.com,155xoriant.com
156,epam.com,156epam.com
157,ebsco.com,157ebsco.com
158,tcs.com,158tcs.com
159,infoysys.com,159infoysys.com
160,xoriant.com,160xoriant.com
161,epam.com,161epam.com
162,ebsco.com,162ebsco.com
163,tcs.com,163tcs.com
164,infoysys.com,164infoysys.com
165,xoriant.com,165xoriant.com
166,epam.com,166epam.com
167,ebsco.com,167ebsco.com
168,tcs.com,168tcs.com
169,infoysys.com,169infoysys.com
170,xoriant.com,170xoriant.com
171,epam.com,171epam.com
172,ebsco.com,172ebsco.com
173,tcs.com,173tcs.com
174,infoysys.com,174infoysys.com
175,xoriant.com,175xoriant.com
176,epam.com,176epam.com
177,ebsco.com,177ebsco.com
178,tcs.com,178tcs.com
179,infoysys.com,179infoysys.com
180,xoriant.com,180xoriant.com
181,epam.com,181epam.com
182,ebsco.com,182ebsco.com
183,tcs.com,183tcs.com
184,infoysys.com,184infoysys.com
185,xoriant.com,185xoriant.com
186,epam.com,186epam.com
187,ebsco.com,187ebsco.com
188,tcs.com,188tcs.com
189,infoysys.com,189infoysys.com
190,xoriant.com,190xoriant.com
191,epam.com,191epam.com
192,ebsco.com,192ebsco.com
193,tcs.com,193tcs.com
194,infoysys.com,194infoysys.com
195,xoriant.com,195xoriant.com
196,epam.com,196epam.com
197,ebsco.com,197ebsco.com
198,tcs.com,198tcs.com
199,infoysys.com,199infoysys.com
200,xoriant.com,200xoriant.com
201,epam.com,201epam.com
202,ebsco.com,202ebsco.com
203,tcs.com,203tcs.com
204,infoysys.com,204infoysys.com
205,xoriant.com,205xoriant.com
206,epam.com,206epam.com
207,ebsco.com,207ebsco.com
208,tcs.com,208tcs.com
209,infoysys.com,209infoysys.com
210,xoriant.com,210xoriant.com
211,epam.com,211epam.com
212,ebsco.com,212ebsco.com
213,tcs.com,213tcs.com
214,infoysys.com,214infoysys.com
215,xoriant.com,215xoriant.com
216,epam.com,216epam.com
217,ebsco.com,217ebsco.com
218,tcs.com,218tcs.com
219,infoysys.com,219infoysys.com
220,xoriant.com,220xoriant.com
221,epam.com,221epam.com
222,ebsco.com,222ebsco.com
223,tcs.com,223tcs.com
224,infoysys.com,224infoysys.com
225,xoriant.com,225xoriant.com
226,epam.com,226epam.com
227,ebsco.com,227ebsco.com
228,tcs.com,228tcs.com
229,infoysys.com,229infoysys.com
230,xoriant.com,230xoriant.com
231,epam.com,231epam.com
232,ebsco.com,232ebsco.com
233,tcs.com,233tcs.com
234,infoysys.com,234infoysys.com
235,xoriant.com,235xoriant.com
236,epam.com,236epam.com
237,ebsco.com,237ebsco.com
238,tcs.com,238tcs.com
239,infoysys.com,239infoysys.com
240,xoriant.com,240xoriant.com
241,epam.com,241epam.com
242,ebsco.com,242ebsco.com
243,tcs.com,243tcs.com
244,infoysys.com,244infoysys.com
245,xoriant.com,245xoriant.com
246,epam.com,246epam.com
247,ebsco.com,247ebsco.com
248,tcs.com,248tcs.com
